V, H 
0.000079,-0.005384
-0.002101,0.004255
-0.002086,0.008090
-0.015448,-0.001163
-0.002074,-0.005016
0.002598,-0.006009
-0.000576,-0.001244
-0.000727,0.005283
0.022430,0.005129
0.012993,0.003604
-0.006060,0.003707
-0.015596,0.002431
-0.004825,-0.003196
-0.005017,-0.005549
0.002645,-0.000569
-0.000565,0.005968
-0.003977,0.003944
-0.002649,-0.003594
-0.006439,-0.010640
0.008135,-0.003414
0.022390,0.007303
0.019493,0.010123
-0.006825,-0.000096
0.009810,0.004925
-0.017662,-0.001320
-0.023122,-0.000991
-0.009918,-0.001959
0.012807,-0.001527
0.037895,0.005797
0.058025,0.013965
0.066940,0.016316
0.067120,0.015196
  NaN,  NaN
